timestamp,bytes_in,bytes_out
2025-09-01 20:06:53.662238,0,0
2025-09-01 20:06:54.677625,86,0
2025-09-01 20:06:55.690978,230,150
2025-09-01 20:06:56.702653,86,110
2025-09-01 20:06:57.730008,42,42
2025-09-01 20:06:58.747139,236,0
2025-09-01 20:06:59.758907,0,0
2025-09-01 20:07:00.770169,86,0
2025-09-01 20:07:01.785978,230,190
2025-09-01 20:07:02.796363,86,0
2025-09-01 20:07:03.806441,2205,0
2025-09-01 20:07:04.818395,4940,0
2025-09-01 20:07:05.833588,0,0
2025-09-01 20:07:06.844203,86,0
2025-09-01 20:07:07.861557,230,240
2025-09-01 20:07:08.872798,172,165
2025-09-01 20:08:32.330818,172,75
2025-09-01 20:08:33.341690,0,90
2025-09-01 20:08:34.357213,86,0
2025-09-01 20:08:35.373553,0,0
2025-09-01 20:08:36.385315,86,0
2025-09-01 20:08:37.400020,404,174
2025-09-01 20:08:38.412109,86,170
2025-09-01 20:08:39.427117,9047,4792
2025-09-01 20:08:40.442671,8624,3061
2025-09-01 20:08:41.453851,0,222
2025-09-01 20:08:42.465392,152,55
2025-09-01 20:08:43.476515,230,222
2025-09-01 20:08:44.490095,140,245
2025-09-01 20:08:45.508591,0,0
2025-09-01 20:08:46.532161,602,148
2025-09-01 20:08:47.574413,0,0
2025-09-01 20:08:48.627976,86,222
2025-09-01 20:08:49.668743,552,102
2025-09-01 20:08:50.706971,86,190
2025-09-01 20:08:51.754239,0,0
2025-09-01 20:08:52.777958,177,54
2025-09-01 20:08:53.811106,0,0
2025-09-01 20:08:54.856546,86,0
2025-09-01 20:08:55.881024,230,170
2025-09-01 20:08:56.914621,86,90
2025-09-01 20:08:57.959191,1065,822
2025-09-01 20:08:58.997906,3160,1930
2025-09-01 20:09:00.032063,74,74
2025-09-01 20:09:01.057002,194,97
2025-09-01 20:09:02.086072,316,256
2025-09-01 20:09:03.115842,86,90
2025-09-01 20:09:04.148269,5495,42
2025-09-01 20:09:05.179260,3367,0
2025-09-01 20:09:06.211533,0,0
